title,subtitle,author,narrator,series,length,release_date,language,ratings
Never Cast Out,How the Gospel Puts an End to the Story of Shame,By: Jasmine L. Holmes,Narrated by: Zakiya Young,Not Found,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Revive Me,"Part One: The Act (New Haven Series, Book 2)",By: J. L. Seegars,"Narrated by: Bianca Drew, Winston James","Series: New Haven, Book 2",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Things We Hide from the Light,Not Found,By: Lucy Score,"Narrated by: Lila Winters, Sebastian York","Series: Knockemout, Book 2",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Guarding Evelyn,Not Found,By: Erin Zak,Narrated by: Lula Larkin,Not Found,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Unfu*k Yourself,Get Out of Your Head and into Your Life,By: Gary John Bishop,Narrated by: Gary John Bishop,Series: Unfu*k Yourself,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Lasher,Not Found,By: Anne Rice,Narrated by: Kate Reading,"Series: Lives of the Mayfair Witches, Book 2",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
The Woman Inside,"Detective Dan Riley, Book 4",By: Anna-Lou Weatherley,Narrated by: James Lailey,"Series: Detective Dan Riley, Book 4",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Leviathan Rises,"Battleship Leviathan Series, Book 5",By: Craig Martelle,Narrated by: Shawn Compton,"Series: Battleship Leviathan, Book 5",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
The Night of the Party,"Detective Dan Riley, Book 5",By: Anna-Lou Weatherley,Narrated by: James Lailey,"Series: Detective Dan Riley, Book 5",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Allegiant,"Divergent Trilogy, Book 3",By: Veronica Roth,"Narrated by: Emma Galvin, Aaron Stanford","Series: Divergent, Book 3",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Britt-Marie Was Here,A Novel,By: Fredrik Backman,Narrated by: Joan Walker,Not Found,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
The Art of Happiness,Not Found,"By: His Holiness the Dalai Lama, Howard C. Cutler MD",Narrated by: Howard C. Cutler MD,Not Found,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Scrum,The Art of Doing Twice the Work in Half the Time,"By: Jeff Sutherland, J.J. Sutherland",Narrated by: J.J. Sutherland,Not Found,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Byzantium,The Surprising Life of a Medieval Empire,By: Judith Herrin,Narrated by: Phyllida Nash,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
The Florence Legacy,A Novel,By: Lauraine Snelling,Narrated by: Marnye Young,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
"You Can't Kiss the Nanny, Brady Banks","Kingsmen Football Stars, Book 2",By: Piper Rayne,"Narrated by: Aaron Shedlock, Cindy Kay","Series: Kingsmen Football Stars, Book 2",Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
Feeling Good,The New Mood Therapy,By: David D. Burns MD,Narrated by: George Newbern,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
Magpie Murders,A Novel,By: Anthony Horowitz,"Narrated by: Samantha Bond, Allan Corduner","Series: Magpie Murders, Book 1",Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
Counterstrike,"Black Fleet Trilogy, Book 3",By: Joshua Dalzelle,Narrated by: Mark Boyett,"Series: Black Fleet Trilogy, Book 3",Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
A Life in Parts,Not Found,By: Bryan Cranston,Narrated by: Bryan Cranston,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
The Ex I'd Love to Hate,"The Lasker Brothers, Book 3",By: Nadia Lee,"Narrated by: Sebastian York, Maxine Mitchell","Series: The Lasker Brothers, Book 3",Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
The Day the World Came to Town,"9/11 in Gander, Newfoundland",By: Jim DeFede,Narrated by: Ray Porter,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
The Monk Who Sold His Ferrari,A Spiritual Fable About Fulfilling Your Dreams & Reaching Your Destiny,By: Robin Sharma,Narrated by: Humphrey Bower,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
On the Road,50th Anniversary Edition,By: Jack Kerouac,Narrated by: Will Patton,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
Uninvited,"Living Loved When You Feel Less than, Left Out, and Lonely",By: Lysa TerKeurst,Narrated by: Ginny Welsh,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
The Power of Intention,Learning to Co-Create Your World Your Way,By: Dr. Wayne W. Dyer,Narrated by: Dr. Wayne W. Dyer,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
A Little Life,A Novel,By: Hanya Yanagihara,Narrated by: Oliver Wyman,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
A Hacker's Mind,"How the Powerful Bend Society's Rules, and How to Bend Them Back",By: Bruce Schneier,Narrated by: Dan John Miller,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
Living on the Inside of the Edge,A Survival Guide,By: Christian Kimball,Narrated by: James Jones,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
The Ink Black Heart,Not Found,By: Robert Galbraith,Narrated by: Robert Glenister,"Series: A Cormoran Strike Novel, Book 6",Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
Love Does,Discover a Secretly Incredible Life in an Ordinary World,By: Bob Goff,Narrated by: Bob Goff,Not Found,Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
Temptation,"The Hunted Series, Book 1",By: Ivy Smoak,Narrated by: Meghan Crawford,"Series: The Hunted Series, Book 1",Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
The Rise of Theodore Roosevelt,Not Found,By: Edmund Morris,Narrated by: Mark Deakins,"Series: Theodore Roosevelt, Book 1",Length: 16 hrs and 14 mins,Release date: 01-24-23,Language: English,3.5 out of 5 stars
The House of the Spirits,A Novel,By: Isabel Allende,"Narrated by: Thom Rivera, Marisol Ramirez",Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
The Cartel,Not Found,By: Ashley & Jaquavis,Narrated by: Cary Hite,"Series: The Cartel, Book 1",Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
From Hoping to Having,The ‘3 Rs’ to Create Your Best Life: Remember-Reset-Receive,By: Julie Poole,Narrated by: Julie Poole,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
Capturing Tess,Not Found,By: Anna Stone,Narrated by: Allie Shae,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
Never never,Non dimenticare mai di ricordarti di me,"By: Colleen Hoover, Tarryn Fisher",Narrated by: Elisa Giorgio,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
The Spy Who Came in from the Cold,"A George Smiley Novel, Book 3",By: John le Carré,Narrated by: Michael Jayston,"Series: Smiley, Book 3",Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
Post Office,A Novel,By: Charles Bukowski,Narrated by: Christian Baskous,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
A Distant Mirror,The Calamitous Fourteenth Century,By: Barbara W. Tuchman,Narrated by: Wanda McCaddon,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
Aristotle and Dante Discover the Secrets of the Universe,Not Found,By: Benjamin Alire Saenz,Narrated by: Lin-Manuel Miranda,"Series: Aristotle and Dante, Book 1",Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
The Girl in the Pink Shoes,"A Lucy Kendall Crime Thriller, Book 1",By: Stacy Green,Narrated by: Amelia Sciandra,"Series: Lucy Kendall Crime Thriller, Book 1",Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
Frame: On Self Actualization for the Modern Man,"Praxeology, Volume 1",By: Rian Stone,Narrated by: Rian Stone,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
The Devine Doughnut Shop,Not Found,By: Carolyn Brown,Narrated by: Brittany Pressley,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
Norse Mythology,Not Found,By: Neil Gaiman,Narrated by: Neil Gaiman,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
Romancing Mister Bridgerton,Not Found,By: Julia Quinn,Narrated by: Rosalyn Landor,"Series: Bridgertons, Book 4",Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
The Diviners,Not Found,By: Libba Bray,Narrated by: January LaVoy,"Series: The Diviners, Book 1",Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
The Easy Way to Stop Smoking,Not Found,By: Allen Carr,Narrated by: Duncan Wells,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
In Order to Live,A North Korean Girl's Journey to Freedom,By: Yeonmi Park,Narrated by: Eji Kim,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
Getting to Yes,Negotiating Agreement Without Giving In,"By: Roger Fisher, William Ury",Narrated by: Dennis Boutsikaris,Not Found,Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
Before They Are Hanged,Not Found,By: Joe Abercrombie,Narrated by: Steven Pacey,"Series: The First Law Trilogy, Book 2",Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
The Cuckoo's Calling,Not Found,By: Robert Galbraith,Narrated by: Robert Glenister,"Series: A Cormoran Strike Novel, Book 1",Length: 18 hrs and 51 mins,Release date: 03-29-16,Language: English,4.5 out of 5 stars
The Tipping Point,How Little Things Can Make a Big Difference,By: Malcolm Gladwell,Narrated by: Malcolm Gladwell,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Born to Run,"A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",By: Christopher McDougall,Narrated by: Fred Sanders,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
The Seven Spiritual Laws of Success,Not Found,By: Deepak Chopra MD,Narrated by: Deepak Chopra,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
The Personal MBA: Master the Art of Business,Not Found,By: Josh Kaufman,Narrated by: Josh Kaufman,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
No Excuses!,The Power of Self-Discipline for Success in Your Life,By: Brian Tracy,Narrated by: Brian Tracy,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
The Ramona Quimby Audio Collection,Not Found,"By: Beverly Cleary, Tracy Dockray",Narrated by: Stockard Channing,"Series: Ramona Quimby, Book 1-8",Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
The Meaning of Marriage,Facing the Complexities of Commitment with the Wisdom of God,By: Timothy Keller,"Narrated by: Lloyd James, Marguerite Gavin",Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Bringing Up Bébé,One American Mother Discovers the Wisdom of French Parenting,By: Pamela Druckerman,Narrated by: Abby Craden,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Napoleon,A Life,By: Andrew Roberts,Narrated by: John Lee,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Leonardo da Vinci,Not Found,By: Walter Isaacson,Narrated by: Alfred Molina,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Recovery,Freedom from Our Addictions,By: Russell Brand,Narrated by: Russell Brand,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
A Walk in the Woods,Rediscovering America on the Appalachian Trail,By: Bill Bryson,Narrated by: Rob McQuay,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Heir of Novron,"Riyria Revelations, Volume 3",By: Michael J. Sullivan,Narrated by: Tim Gerard Reynolds,"Series: Riyria Revelations, Book 3",Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Dempsey,"The Tier One Thrillers, Book 7","By: Brian Andrews, Jeffrey Wilson",Narrated by: Ray Porter,"Series: Tier One, Book 7",Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
A Cult of One,How to Deprogram Yourself from Narcissistic Abuse,By: Richard Grannon,Narrated by: Richard Grannon,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
The Never King,"Vicious Lost Boys, Book 1",By: Nikki St. Crowe,"Narrated by: Stella Hunter, Shane East, Diontae Black, Curtis Michael Holland, Roxy Isles","Series: Vicious Lost Boys, Book 1",Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Grizzly Killer: Spirit of the Mountain,Book 16,By: Lane R. Warenski,Narrated by: Louis B. Jack,"Series: Grizzly Killer Series, Book 16",Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
"Secular, Sacred, Spirit",Not Found,By: Blake K. Healy,Narrated by: Blake K. Healy,Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
"The Word of Promise Audio Bible - New King James Version, NKJV: Complete Bible",Not Found,By: Thomas Nelson Inc.,"Narrated by: Jason Alexander, Joan Allen, Richard Dreyfuss, Louis Gossett, Malcolm McDowell Jr., Gary Sinese, Marisa Tomei, Stacy Keach",Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Earthman Sentinel,A Central Park Starship Adventure,"By: Jack Porter, Danny Kade","Narrated by: Christopher Harbour, Erin Bateman",Not Found,Length: 8 hrs and 34 mins,Release date: 12-31-06,Language: English,4.5 out of 5 stars
Tears of Liscor,"The Wandering Inn, Book 9",By: pirateaba,Narrated by: Andrea Parsneau,"Series: The Wandering Inn, Book 9",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Rejected by My Alpha Mate,The Rejection Series,By: Jaymin Snow,Narrated by: Mikaela Del Rey,Series: The Rejection Series,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
A Light in the Flame,"Flesh and Fire, Book 2",By: Jennifer L. Armentrout,Narrated by: Stina Nielsen,"Series: Flesh and Fire, Book 2",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Legends & Lattes,A Novel of High Fantasy and Low Stakes,By: Travis Baldree,Narrated by: Travis Baldree,"Series: Legends & Lattes, Book 1",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
A Place to Land,Not Found,By: Lauren K. Denton,Narrated by: Brittany Pressley,Not Found,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Forever Paired,"Forever Bluegrass, Book 19",By: Kathleen Brooks,Narrated by: Eric G. Dove,"Series: Forever Bluegrass, Book 19",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
The Shop Around the Corner,"Sweet Tea and a Southern Gentleman, Book 2",By: Anne-Marie Meyer,Narrated by: Liz Krane,"Series: Sweet Tea and a Southern Gentleman Romance Series, Book 2",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
The Last Orphan,"An Orphan X Novel, Book 8",By: Gregg Hurwitz,Narrated by: Scott Brick,"Series: Orphan X (Evan Smoak), Book 8",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Radiant Sin,"Dark Olympus, Book 4",By: Katee Robert,"Narrated by: Zara Hampton-Brown, Alex Moorcock","Series: Dark Olympus, Book 4",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Russia's War on Everybody,And What It Means for You,By: Keir Giles,Narrated by: Keir Giles,Not Found,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Self Sabotage No More,Stop Repeating the Past and Start Creating Your Future,By: Jennie Potter,Narrated by: Jennie Potter,Not Found,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Smart Brevity,The Power of Saying More with Less,"By: Jim VandeHei, Mike Allen, Roy Schwartz",Narrated by: Mark Chamberlin,Not Found,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Dead Letters from Paradise,Not Found,By: Ann McMan,Narrated by: Christine Williams,Not Found,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
The Humanity Archive,Recovering the Soul of Black History from a Whitewashed American Myth,By: Jermaine Fowler,Narrated by: Jermaine Fowler,Not Found,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
The Power of One More,The Ultimate Guide to Happiness and Success,By: Ed Mylett,Narrated by: Ed Mylett,Not Found,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Ryan Retribution,"New York Ruthless, Book 3",By: Sadie Kincaid,"Narrated by: Aaron Shedlock, Hollie Jackson","Series: New York Ruthless Series, Book 3",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
The Primacy of Doubt,"From Quantum Physics to Climate Change, How the Science of Uncertainty Can Help Us Understand Our Chaotic World",By: Tim Palmer,Narrated by: Tim Palmer,Not Found,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
I Know My First Name Is Steven,Not Found,By: Mike Echols,Narrated by: Amanda Fichter,Not Found,Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Nemesis of Mars,"Mage-Officer of Mars, Book 4 and Starship's Mage, Book 13",By: Glynn Stewart,Narrated by: Jeffrey Kafer,"Series: Starship's Mage, Book 13, Mage-Officer of Mars, Book 4",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
Luca,"The Eisenberg Effect, Book 1",By: Grey Huffington,"Narrated by: Morae Brehon, Leon Nixon","Series: The Eisenberg Effect, Book 1",Length: 42 hrs and 3 mins,Release date: 04-25-23,Language: English,Not rated yet
The Primacy of Doubt,"From Quantum Physics to Climate Change, How the Science of Uncertainty Can Help Us Understand Our Chaotic World",By: Tim Palmer,Narrated by: Tim Palmer,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
The Courage to Face Covid-19,Preventing Hospitalization and Death While Battling the Bio-Pharmaceutical Complex,"By: John Leake, Peter A. McCullough",Narrated by: John Leake,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Nemesis of Mars,"Mage-Officer of Mars, Book 4 and Starship's Mage, Book 13",By: Glynn Stewart,Narrated by: Jeffrey Kafer,"Series: Starship's Mage, Book 13, Mage-Officer of Mars, Book 4",Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Beautiful Devils,"Filthy Wicked Psychos, Book 2",By: Eva Ashwood,"Narrated by: Cassandra Medcalf, Daniel James Lewis","Series: Filthy Wicked Psychos, Book 2",Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Luca,"The Eisenberg Effect, Book 1",By: Grey Huffington,"Narrated by: Morae Brehon, Leon Nixon","Series: The Eisenberg Effect, Book 1",Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Dear Body,"What I Lost, What I Gained, and What I Learned Along the Way",By: Brittany Williams,Narrated by: Brittany Williams,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Their Vicious Darling,"Vicious Lost Boys, Book 3",By: Nikki St. Crowe,"Narrated by: Stella Hunter, Shane East, Diontae Black, Curtis Michael Holland, Jason Clarke, Vanessa Edwin","Series: Vicious Lost Boys, Book 3",Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
The Dissolution of the Monasteries,A New History,By: James G. Clark,Narrated by: Nigel Patterson,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Uprising,The Epic Battle for the Most Fatherless Generation in History,By: Kris Vallotton,Narrated by: Kris Vallotton,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
The Dark Queens,The Bloody Rivalry That Forged the Medieval World,By: Shelley Puhak,Narrated by: Cassandra Campbell,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
The Power of Intention,Learning to Co-Create Your World Your Way,By: Dr. Wayne W. Dyer,Narrated by: Dr. Wayne W. Dyer,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
1Q84,Not Found,"By: Haruki Murakami, Jay Rubin - translator, Philip Gabriel - translator","Narrated by: Allison Hiroto, Marc Vietor, Mark Boyett",Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
The Ravenglass Chronicles: Complete Omnibus,Not Found,By: Jon Cronshaw,Narrated by: Emmy Coates,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition,Not Found,"By: Mike Chapple, James Michael Stewart, Darril Gibson",Narrated by: Tom Parks,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Deadly Force,"Understanding Your Right to Self-Defense, 2nd Edition",By: Massad Ayoob,Narrated by: Massad Ayoob,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Tú eres lo único que falta en tu vida [You Are the Only Thing Missing in Your Life],Libérate del ego a través del Eneagrama [Get Rid of the Ego Through the Enneagram],By: Borja Vilaseca,"Narrated by: Jordi Llovet, Borja Vilaseca",Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
While Time Remains,A North Korean Girl's Search for Freedom in America,By: Yeonmi Park,Narrated by: Maureen Taylor,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Divorcing a Narcissist,"The Lure, the Loss, and the Law","By: Supriya McKenna, Karin Walker",Narrated by: Supriya McKenna,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
Menopause and the Black Woman,A Guide to Wellness for African Americans,By: April S. Lily,Narrated by: Karen M. Jackson,Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
The House of the Spirits,A Novel,By: Isabel Allende,"Narrated by: Thom Rivera, Marisol Ramirez",Not Found,Length: 9 hrs and 41 mins,Release date: 12-20-22,Language: English,5 out of 5 stars
